geoid,lon,lat
13235,-83.475499,32.233345
13281,-83.741074,34.913691
45087,-81.617303,34.688357
13033,-81.999287,33.059179
13005,-82.459365,31.554564
01095,-86.304867,34.369759
45065,-82.307943,33.901614
13303,-82.79357,32.967118
47015,-86.057389,35.809907
13177,-84.143242,31.77933
13021,-83.704891,32.809042
13119,-83.231599,34.375255
01113,-85.184153,32.287252
01123,-85.79833,32.866982
13035,-83.95435,33.283094
45071,-81.599357,34.28629
13095,-84.217223,31.533285
01115,-86.310293,33.719021
13153,-83.66879,32.458024
13179,-81.492511,31.825888
12109,-81.435899,29.900965
13225,-83.829369,32.569343
13085,-84.16964,34.44244
01017,-85.390727,32.9136
45019,-79.965123,32.824878
13181,-82.450241,33.792014
01109,-85.940829,31.803963
12073,-84.274911,30.459557
47177,-85.779691,35.672829
45009,-81.056599,33.219275
13195,-83.212187,34.129209
01071,-85.997504,34.781441
45073,-83.067423,34.752251
13199,-84.688597,33.041635
47051,-86.09201,35.156346
13305,-81.918948,31.55218
47105,-84.311452,35.739396
13261,-84.198214,32.036505
47115,-85.622658,35.129971
12023,-82.621601,30.225097
13193,-84.042341,32.35207
13173,-83.064724,31.038285
13073,-82.263523,33.545341
13277,-83.523611,31.457438
13101,-82.896872,30.71101
13155,-83.275013,31.60213
45037,-81.962311,33.772219
13093,-83.797465,32.156307
13163,-82.41609,33.058673
13149,-85.128868,33.296865
37175,-82.796384,35.203838
13139,-83.818969,34.322078
13271,-82.934911,31.928295
13123,-84.458025,34.693166
13255,-84.280139,33.2631
47143,-84.930766,35.605361
13171,-84.142638,33.078416
47123,-84.249029,35.445503
45053,-81.024874,32.431719
13293,-84.300248,32.879206
45001,-82.461706,34.223333
13111,-84.316964,34.864302
13067,-84.576125,33.942432
01019,-85.606389,34.178059
13091,-83.169489,32.172651
13253,-84.868239,30.934648
13287,-83.620693,31.716126
13229,-82.215984,31.359281
01049,-85.807829,34.459468
13113,-84.490894,33.413577
37039,-84.059708,35.134926
13165,-81.960401,32.792487
45049,-81.138455,32.774195
13317,-82.742861,33.782903
13065,-82.704324,30.913958
13019,-83.225299,31.2759
13023,-83.330351,32.43829
13117,-84.123151,34.22604
12059,-85.813192,30.867474
13309,-82.725747,32.120091
13107,-82.302399,32.592213
13275,-83.918472,30.863923
45017,-80.777221,33.669268
12007,-82.166116,29.950797
12047,-82.949989,30.496739
45081,-81.727132,34.007958
13055,-85.345356,34.471976
13159,-83.688449,33.315355
12125,-82.374974,30.044129
13221,-83.082781,33.878629
13007,-84.442188,31.326698
13077,-84.761299,33.353343
13227,-84.464066,34.465891
12003,-82.284674,30.330601
12031,-81.669764,30.332258
13211,-83.491294,33.59232
13061,-84.977138,31.622211
13001,-82.289091,31.748472
13279,-82.329572,32.120598
37021,-82.53305,35.611133
13197,-84.527335,32.34834
13223,-84.868487,33.919695
12089,-81.802975,30.610371
13239,-85.017731,31.867281
13039,-81.666018,30.929519
13143,-85.210056,33.796021
13043,-82.077025,32.402093
37075,-83.833692,35.350692
13009,-83.247017,33.068823
13233,-85.186777,34.00267
13245,-82.070264,33.357771
01067,-85.242679,31.51148
12037,-84.827316,29.837912
13183,-81.749523,31.752187
47007,-85.206119,35.599429
13247,-84.022021,33.65145
37113,-83.416966,35.148678
01045,-85.610957,31.430371
13037,-84.627251,31.531697
47003,-86.45549,35.511237
13133,-83.171391,33.57692
12045,-85.242709,29.93543
47127,-86.362305,35.277246
13191,-81.401634,31.496835
13127,-81.538114,31.232792
13069,-82.85492,31.548929
12133,-85.660024,30.613592
13213,-84.749931,34.788976
01081,-85.351322,32.601548
12063,-85.215004,30.795459
13167,-82.661667,32.70211
45075,-80.798862,33.439107
01111,-85.457088,33.295267
13219,-83.436795,33.837499
13151,-84.148146,33.453342
13321,-83.850905,31.551623
13169,-83.560191,33.025121
01061,-85.835728,31.09389
13141,-82.997669,33.272156
13137,-83.530946,34.633315
13129,-84.872962,34.504873
13121,-84.463194,33.792169
37087,-82.981964,35.55269
47009,-83.928477,35.689381
13231,-84.387903,33.093102
47185,-85.455917,35.929298
13083,-85.504904,34.854916
13097,-84.770261,33.702911
13031,-81.748114,32.395774
37089,-82.476678,35.337889
45011,-81.435843,33.266793
13115,-85.215773,34.262682
45059,-82.004907,34.482444
13307,-84.547428,32.040661
13189,-82.482527,33.478519
13135,-84.021378,33.960442
13175,-82.922213,32.463252
13049,-82.139515,30.78371
12079,-83.473985,30.443969
45047,-82.127157,34.152724
45007,-82.639595,34.51828
01087,-85.692677,32.387599
45077,-82.727915,34.888076
45005,-81.35321,32.988373
13081,-83.768118,31.922895
37173,-83.487489,35.486658
13313,-84.960934,34.809874
13257,-83.294053,34.551512
01029,-85.520058,33.676792
45013,-80.726197,32.392262
47041,-85.836893,35.976162
13145,-84.905385,32.737097
13125,-82.612976,33.228799
13063,-84.355941,33.541872
13297,-83.735523,33.780176
13209,-82.535274,32.17201
37099,-83.140933,35.288142
13283,-82.569045,32.404221
45045,-82.37295,34.895022
45079,-80.902672,34.017912
45035,-80.405026,33.079436
45063,-81.271464,33.896659
12129,-84.398952,30.165489
12123,-83.604454,30.04848
47107,-84.615207,35.428126
13201,-84.731511,31.165689
13215,-84.871422,32.509319
47175,-85.452216,35.698644
01031,-85.98901,31.399328
13187,-84.004256,34.572865
13131,-84.234183,30.874548
13311,-83.749055,34.646242
47031,-86.073117,35.490907
13295,-85.301651,34.733763
13319,-83.171406,32.80291
13053,-84.788092,32.343412
12039,-84.619158,30.577962
13301,-82.677958,33.411464
01121,-86.168861,33.378232
47153,-85.410221,35.369797
37043,-83.743536,35.057042
13047,-85.13757,34.898722
13075,-83.429472,31.160684
01069,-85.299395,31.151979
13265,-82.881368,33.565433
13267,-82.055391,32.04785
13249,-84.312589,32.265402
13017,-83.221453,31.760958
13241,-83.403046,34.883894
13045,-85.079766,33.581381
01027,-85.85836,33.269841
13259,-84.83208,32.079967
13027,-83.583034,30.839226
13207,-83.920971,33.014288
13217,-83.845471,33.555145
13285,-85.028121,33.033491
13025,-81.977439,31.195765
01055,-86.040518,34.045672
12067,-83.181666,29.984841
13013,-83.714362,33.991486
13059,-83.37124,33.954364
47139,-84.520758,35.122454
01015,-85.826303,33.774837
12041,-82.798806,29.728569
47065,-85.166522,35.176702
45003,-81.636453,33.54338
13161,-82.637248,31.804057
12013,-85.193941,30.406667
13051,-81.124895,32.00043
12077,-84.882925,30.23766
47035,-84.998405,35.952717
13089,-84.22396,33.76944
45015,-79.946545,33.202225
13315,-83.434385,31.974969
45029,-80.676412,32.875829
47011,-84.857185,35.157394
13015,-84.838875,34.237321
13087,-84.576195,30.879677
13185,-83.270567,30.835688
13057,-84.474318,34.243939
47121,-84.814829,35.515587
13003,-82.875458,31.296335
13103,-81.342809,32.36616
13105,-82.839361,34.113023
13205,-84.193818,31.224832
01005,-85.387128,31.868263
47145,-84.524586,35.849231
12019,-81.856099,29.983191
01011,-85.712655,32.100305
13157,-83.568147,34.137945
13291,-83.98967,34.829957
13289,-83.430786,32.674355
13299,-82.422241,31.05449
13011,-83.496443,34.35607
13273,-84.440696,31.775275
47061,-85.721427,35.384337
13029,-81.440029,32.009793
13071,-83.767794,31.188105
13237,-83.375528,33.320561
13243,-84.757323,31.766228
12065,-83.894423,30.436691
47149,-86.410726,35.845914
12121,-82.990996,30.19746
13099,-84.902552,31.321553
13109,-81.88701,32.153288
13269,-84.250771,32.557925
13079,-83.980612,32.713918
13263,-84.533513,32.696427
13147,-82.965676,34.346269
13251,-81.607794,32.749765
